STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-09,0.00,67,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-10,0.00,63,72,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-11,0.00,62,70,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-12,0.00,62,69,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-13,0.00,62,76,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-14,0.00,60,73,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-15,0.00,60,65,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-16,0.00,59,70,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-17,0.00,60,72,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-18,0.00,62,74,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-19,0.00,61,70,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-20,0.00,60,66,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-21,0.00,61,68,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-22,0.00,60,66,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-23,0.00,61,75,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-24,0.00,61,70,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-25,0.00,61,71,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-26,0.00,62,75,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-27,0.00,65,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-28,0.00,63,74,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-29,0.00,63,72,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-30,0.00,62,71,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-31,0.00,64,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-01,0.00,64,73,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-02,0.00,65,71,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-03,0.00,60,68,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-04,0.00,60,68,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-05,0.00,61,68,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-06,0.00,63,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-07,0.00,62,75,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-08,0.00,63,74,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-09,0.00,63,75,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-10,0.00,64,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-11,0.00,62,70,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-12,0.00,63,71,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-13,0.00,63,71,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-14,0.00,63,70,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-15,0.00,63,71,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-16,0.00,63,73,58
